name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
Live close to the lakes,,Nrrebro,55.6887,12.56141,Entire home/apt,744.0,2,32,0.27,1,60,0,
Architects home in modern building,,Indre By,55.67243,12.597,Entire home/apt,880.0,7,39,0.33,1,45,0,
"Big apartment in trendy, green Copenhagen street",,Indre By,55.68355,12.56529,Entire home/apt,1005.0,5,2,0.92,1,0,2,
Wonderful apartment at the top,,Frederiksberg,55.68035,12.5531,Entire home/apt,1200.0,5,13,0.11,1,284,3,
Unique apartment in Copenhagen,,Indre By,55.69584,12.57621,Entire home/apt,1000.0,360,0,,1,365,0,
"Architectural icon by ""B.I.G.""",,Amager Vest,55.63363,12.58177,Entire home/apt,1450.0,2,116,1.03,3,326,19,
"Amazing room in ""B.I.G"" apartment",,Amager Vest,55.63094,12.58127,Private room,950.0,1,99,0.87,3,304,11,
"Loft room in ""B.I.G."" apartment",,Amager Vest,55.63558,12.58183,Private room,750.0,1,66,0.56,3,327,4,
Great apartment in trendy Vesterbro,,Vesterbro-Kongens Enghave,55.66834,12.55066,Entire home/apt,1100.0,3,50,0.52,1,0,0,
Big apt @ very attractive Islands Brygge,,Amager Vest,55.66367,12.57773,Entire home/apt,975.0,4,3,0.07,1,0,2,
Spacious Villa - close to City,,Amager st,55.65704,12.62712,Entire home/apt,1400.0,5,2,0.02,1,0,0,
Absolutely fantastic apartment. Nyhavn. 100 meters,,Indre By,55.67439,12.58938,Entire home/apt,1906.0,3,123,1.05,1,4,16,
Nice room with own kitchen.,,Valby,55.6673,12.50546,Private room,297.0,2,14,0.12,2,55,2,
1730 squarefeet lux. apartment,,sterbro,55.70331,12.58203,Entire home/apt,2200.0,3,96,0.85,1,359,4,
Stylish BIG place - Very central - Great for kids!,,sterbro,55.69802,12.58286,Entire home/apt,2592.0,6,6,0.05,1,365,0,
Aparment in the trendy neighborhood Nørrebro,,Nrrebro,55.6926,12.56091,Entire home/apt,744.0,2,28,0.24,1,0,3,
"Charming, quiet, light, and central - Welcome",,Frederiksberg,55.67661,12.53022,Entire home/apt,950.0,2,58,0.64,1,9,6,
Cosy apartment in Copenhagen SV,,Vesterbro-Kongens Enghave,55.6457,12.5276,Entire home/apt,450.0,7,7,0.06,3,50,0,
Best and trendy place at Vesterbro,,Vesterbro-Kongens Enghave,55.66348,12.5434,Private room,564.0,1,0,,3,89,0,
Apt. on Christianshavn w. balconies,,Indre By,55.67475,12.59797,Entire home/apt,2286.0,3,5,0.04,1,364,0,
Spacious modern house,,Brnshj-Husum,55.70007,12.49747,Entire home/apt,1195.0,3,17,0.31,1,11,4,
Artsy apartment just between downtown & the beach,,Amager st,55.66178,12.6134,Entire home/apt,430.0,82,32,0.28,1,0,0,
"Spacious, historic appartment",,Bispebjerg,55.69934,12.53611,Entire home/apt,1334.0,5,11,0.12,1,99,3,
Centrally located cozy gem,,Indre By,55.67632,12.59742,Entire home/apt,629.0,10,27,0.25,1,147,0,
Beauty & charm in the heart of Cph.,,Indre By,55.68551,12.56956,Entire home/apt,1400.0,5,57,0.51,1,8,4,
BIG APR. IN THE HEART OF COPENHAGEN,,Indre By,55.68366,12.56922,Entire home/apt,967.0,3,13,0.13,2,0,0,
Modern Apartment in Copenhage City,,Amager Vest,55.66715,12.58081,Private room,730.0,3,331,2.9,1,120,12,
Nice and cosy house in CPH,,Vanlse,55.69365,12.47458,Entire home/apt,1000.0,6,0,,1,0,0,
Central & lovely 2-rooms apartment,,Indre By,55.68466,12.58722,Entire home/apt,650.0,60,9,0.12,1,16,0,
Classic cosy shared appartment,,Nrrebro,55.68676,12.5515,Private room,514.0,6,177,1.5,2,8,6,
Cosy Cop-NV 3-room flat with cat,,Bispebjerg,55.71081,12.54369,Entire home/apt,383.0,4,93,0.8,1,0,2,
Superb flat by the lakes in CPH,,Indre By,55.68282,12.55976,Entire home/apt,1050.0,5,1,0.02,1,73,0,
Big town-house from the 1920´s. Central location.,,sterbro,55.7113,12.55654,Entire home/apt,1657.0,1,2,0.03,1,306,0,
